Label (Grouping),Alabama!!Estimate,Alaska!!Estimate,Arizona!!Estimate,Arkansas!!Estimate,California!!Estimate,Colorado!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,District of Columbia!!Estimate,Florida!!Estimate,Georgia!!Estimate,Hawaii!!Estimate,Idaho!!Estimate,Illinois!!Estimate,Indiana!!Estimate,Iowa!!Estimate,Kansas!!Estimate,Kentucky!!Estimate,Louisiana!!Estimate,Maine!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,Michigan!!Estimate,Minnesota!!Estimate,Mississippi!!Estimate,Missouri!!Estimate,Montana!!Estimate,Nebraska!!Estimate,Nevada!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New Mexico!!Estimate,New York!!Estimate,North Carolina!!Estimate,North Dakota!!Estimate,Ohio!!Estimate,Oklahoma!!Estimate,Oregon!!Estimate,Pennsylvania!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,South Dakota!!Estimate,Tennessee!!Estimate,Texas!!Estimate,Utah!!Estimate,Vermont!!Estimate,Virginia!!Estimate,Washington!!Estimate,West Virginia!!Estimate,Wisconsin!!Estimate,Wyoming!!Estimate,Puerto Rico!!Estimate
        70 to 74 years,"110,670","13,493","173,938","65,816","739,712","118,609","80,869","28,211","8,697","568,690","205,053","36,192","44,968","265,166","149,741","77,071","61,847","100,004","97,560","39,518","122,425","149,986","239,280","126,934","61,494","134,436","32,505","45,407","70,623","35,552","190,169","55,034","417,677","235,064","15,325","274,657","81,652","110,239","307,649","25,196","131,648","22,096","154,265","503,131","52,577","18,276","180,090","168,141","46,747","140,949","14,801","81,790"
        75 to 79 years,"75,480","8,784","139,314","47,955","511,897","76,123","55,009","18,719","6,494","460,965","138,301","26,911","28,432","172,098","93,257","49,833","39,804","65,345","64,831","27,481","83,001","105,329","150,586","81,853","40,861","93,151","20,776","27,189","51,558","23,932","134,804","37,935","283,305","163,281","10,831","171,746","57,533","75,022","208,981","16,349","84,730","12,818","103,674","333,768","34,942","11,682","125,183","115,196","31,498","92,853","10,187","71,336"
        80 to 84 years,"44,901","4,318","79,878","25,722","309,633","43,460","32,226","10,869","5,131","278,412","74,343","15,280","17,735","104,883","54,635","29,200","26,691","37,242","36,813","15,442","50,048","60,372","92,335","50,444","24,063","52,240","11,161","16,367","29,711","13,221","78,683","19,497","173,838","85,023","5,354","106,372","34,379","39,548","123,652","9,829","50,276","7,674","57,526","183,481","19,386","7,522","71,745","61,312","21,195","52,959","5,125","46,484"
        85 years and over,"28,179","2,298","51,331","20,134","259,493","33,269","27,442","6,956","2,564","215,842","51,465","13,361","12,023","87,854","40,592","22,849","20,498","26,582","24,792","12,164","41,375","48,098","71,540","41,800","16,410","43,909","8,558","14,618","16,787","10,700","61,626","14,140","151,807","61,927","6,302","80,278","21,785","30,067","100,167","7,267","34,349","5,917","42,172","140,966","16,182","5,371","54,249","48,342","11,878","41,748","3,064","36,503"
    Female:,"2,613,048","347,916","3,680,816","1,541,149","19,492,917","2,879,030","1,849,516","523,739","352,040","11,291,355","5,588,925","714,887","962,108","6,352,997","3,440,370","1,592,858","1,463,359","2,279,152","2,342,095","700,783","3,160,543","3,562,487","5,055,029","2,847,546","1,513,368","3,131,606","555,594","979,086","1,577,850","698,445","4,696,995","1,065,559","10,048,252","5,469,181","380,416","5,945,847","2,015,605","2,118,486","6,572,178","557,893","2,712,725","447,367","3,588,721","15,008,431","1,664,683","326,366","4,384,305","3,855,375","893,055","2,933,768","283,526","1,693,000"
        Under 5 years,"137,895","23,454","191,990","87,526","1,036,482","150,498","86,940","26,602","18,997","537,647","301,938","38,990","54,744","327,910","190,475","86,941","85,248","126,747","133,097","28,892","168,822","166,143","261,943","157,897","82,273","169,662","29,315","58,831","85,624","30,697","251,411","54,487","511,854","290,434","23,299","320,143","117,415","96,607","327,809","26,387","137,723","28,383","195,898","918,642","111,746","14,224","235,050","208,099","44,003","150,082","15,393","45,947"
        5 to 9 years,"152,825","23,721","216,589","97,918","1,120,088","158,368","98,043","27,814","17,701","564,827","334,015","38,033","64,363","365,340","213,602","98,427","91,054","139,168","135,977","34,183","180,931","173,480","278,685","177,068","87,965","186,380","30,126","64,722","94,773","35,184","259,433","60,492","524,241","304,246","25,670","340,057","130,393","112,532","351,943","25,779","155,938","29,017","204,848","1,009,224","120,860","14,882","242,489","221,805","47,080","160,270","16,828","64,271"
        10 to 14 years,"153,945","24,686","225,438","96,588","1,236,877","175,695","103,912","29,897","16,251","617,624","363,303","44,533","67,796","388,298","219,685","100,424","99,531","136,827","155,311","34,133","188,769","190,299","299,319","180,961","97,803","190,696","36,047","66,340","96,863","33,503","286,631","67,493","563,483","327,590","24,695","363,462","134,599","118,987","370,941","28,987","157,503","31,813","213,714","1,067,195","135,681","17,103","265,548","232,574","50,753","178,348","19,345","84,723"
        15 to 17 years,"99,015","14,623","143,047","56,636","750,300","108,344","67,436","18,130","8,253","373,159","224,507","22,112","39,535","240,844","137,591","63,222","59,076","89,179","91,436","21,831","117,679","121,753","186,406","111,804","64,067","117,557","18,666","40,789","61,842","24,243","174,242","43,320","338,084","197,099","13,692","224,263","80,414","73,770","230,956","19,109","96,786","17,354","133,073","642,255","82,356","9,291","160,538","137,221","32,143","111,598","10,774","53,723"
        18 and 19 years,"72,768","7,390","93,935","39,796","503,612","70,976","52,486","12,914","11,514","247,123","147,942","14,566","26,229","156,481","88,938","42,186","41,107","53,694","58,559","14,494","74,600","104,814","126,539","70,439","44,831","79,965","14,372","27,736","33,227","18,143","106,308","26,983","250,707","142,474","12,353","148,143","56,894","52,036","186,045","18,542","70,062","11,627","86,016","406,095","53,410","11,785","117,524","85,015","22,024","74,110","7,187","39,907"
