"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"        18 and 19 years","69,110","7,820","87,001","40,105","535,046","69,187","53,246","14,294","13,531","238,304","147,145","15,558","21,826","173,718","94,722","45,835","44,429","59,698","66,506","17,827","77,267","109,726","138,683","73,275","49,200","83,522","12,230","27,034","30,546","21,825","112,026","33,362","277,027","140,497","11,066","157,863","53,501","47,023","190,691","18,864","68,806","13,779","84,936","372,597","45,112","11,385","117,458","87,226","22,658","82,409","9,159","57,712"
"        20 years","37,248","5,608","44,722","23,594","299,727","34,399","25,929","7,911","6,566","137,632","75,633","9,155","11,233","87,355","50,480","23,863","21,234","29,630","34,525","9,398","40,592","55,375","79,167","35,753","23,571","45,965","9,404","13,276","18,549","11,940","56,407","13,020","152,003","73,703","6,855","82,061","28,146","27,461","99,302","9,428","38,254","5,766","48,331","199,744","25,344","4,122","59,925","47,378","15,049","41,581","4,105","27,114"
"        21 years","39,243","5,844","51,581","22,324","289,211","36,106","22,923","6,567","5,753","138,724","70,182","7,315","12,141","95,454","53,371","20,858","22,457","34,278","33,899","8,922","42,859","53,072","77,848","38,170","28,063","44,185","6,460","13,701","19,714","9,069","51,035","15,996","143,626","72,839","6,246","87,643","29,589","27,664","94,548","10,421","35,710","6,100","46,221","184,543","24,603","6,259","61,908","48,527","13,478","40,448","3,016","31,440"
"        22 to 24 years","94,925","15,449","130,204","55,260","815,296","106,637","62,253","17,744","19,113","371,176","203,590","29,647","32,904","256,573","130,062","62,724","55,693","84,765","101,477","21,406","116,117","126,315","193,387","99,769","61,038","119,582","19,344","36,937","54,837","20,482","160,082","39,577","413,822","190,412","16,046","222,278","78,462","77,698","243,407","22,049","95,525","15,375","131,816","540,082","67,209","10,938","162,612","137,558","35,252","109,486","11,874","73,702"
"        25 to 29 years","157,065","28,378","213,084","96,970","1,342,594","181,379","106,989","29,398","41,099","597,248","334,621","47,527","51,800","443,756","207,086","93,983","93,506","137,715","165,922","36,657","203,838","232,886","290,462","180,941","94,920","198,054","30,216","62,061","95,576","36,749","275,457","68,661","714,696","310,007","24,518","357,659","128,932","128,678","397,935","32,400","152,092","27,394","210,610","924,396","108,412","17,665","283,874","239,281","52,091","180,479","19,447","113,582"
"        30 to 34 years","157,911","24,680","212,154","93,872","1,318,597","181,050","109,244","27,692","33,013","585,293","346,933","45,858","50,501","443,740","207,435","97,480","93,100","142,569","157,937","37,526","202,901","214,675","294,821","182,520","98,173","197,809","30,230","60,086","96,756","36,408","287,159","65,328","675,733","319,618","22,207","359,498","123,955","133,828","380,905","32,466","153,943","25,739","215,016","925,729","110,445","17,451","280,943","236,881","55,778","180,003","18,153","121,670"
"        35 to 39 years","150,673","22,082","194,078","88,880","1,255,875","169,107","104,118","29,703","22,711","576,803","343,320","43,037","47,193","413,810","196,885","89,168","81,844","133,622","138,956","38,096","189,136","195,508","285,110","158,073","92,131","170,048","29,042","54,880","89,478","38,496","285,324","61,721","618,767","323,886","18,214","332,900","115,407","120,634","365,406","30,385","144,817","22,316","205,329","885,418","95,413","15,126","272,983","222,085","54,545","164,450","16,129","123,844"
"        40 to 44 years","163,767","23,838","217,222","97,131","1,319,753","175,868","131,197","28,900","19,844","633,095","373,414","43,402","49,423","440,015","216,086","89,196","87,884","149,249","146,613","44,290","212,230","243,033","331,926","173,183","98,286","198,072","27,086","55,195","97,124","46,303","323,343","61,404","672,713","352,873","18,342","385,854","115,079","128,519","417,770","35,855","159,388","23,294","221,034","896,124","78,690","21,819","285,198","228,045","60,794","180,898","17,204","124,170"
"        45 to 49 years","166,704","23,454","205,784","98,276","1,305,554","175,104","142,752","33,779","18,826","685,668","358,016","44,763","49,659","450,098","224,499","99,746","93,274","154,784","153,862","50,730","230,721","254,769","353,911","189,360","100,404","206,380","31,959","59,350","91,929","53,919","348,622","66,869","720,928","348,835","20,576","403,749","121,665","126,866","457,524","39,243","166,249","25,720","227,266","865,608","76,282","23,269","305,351","231,478","62,380","203,260","17,837","130,424"
"        50 to 54 years","177,657","26,336","217,905","102,469","1,321,317","189,634","146,960","34,920","18,937","709,522","350,021","48,017","53,260","475,874","240,976","111,759","103,393","164,071","168,579","56,219","234,958","258,615","385,136","205,485","106,576","227,395","39,684","66,327","91,291","57,333","351,828","74,603","739,803","352,267","24,361","446,766","135,779","138,523","495,505","42,188","168,597","29,751","236,513","870,635","77,044","26,817","306,238","252,724","70,842","222,471","21,151","126,232"
"        55 to 59 years","168,578","25,343","207,123","101,878","1,197,466","181,973","131,062","34,933","17,514","665,841","317,055","47,127","49,511","434,653","222,771","104,069","97,411","153,685","161,086","54,981","203,779","238,676","367,584","181,713","100,030","213,384","39,466","60,653","91,535","51,731","307,741","74,245","673,078","332,620","22,790","419,383","127,525","141,020","472,037","37,088","170,501","28,556","226,866","781,197","73,886","25,466","278,750","237,985","72,100","202,140","20,784","118,394"
"        60 and 61 years","63,298","8,916","79,089","35,213","434,549","61,212","45,462","11,235","7,569","263,344","116,404","18,809","19,374","159,944","84,806","42,034","34,740","58,475","53,465","20,425","81,092","85,424","133,064","67,714","37,344","73,459","15,793","23,229","32,590","19,226","116,481","26,514","243,673","123,158","8,485","154,280","46,834","53,199","169,136","14,746","61,275","10,805","84,792","267,325","25,299","9,672","101,763","92,939","29,946","70,305","8,762","47,898"
"        62 to 64 years","89,309","9,930","115,119","52,605","593,514","84,734","65,754","16,576","11,487","373,428","163,167","26,285","27,960","211,215","110,786","50,949","46,422","79,081","79,991","28,329","104,171","118,495","181,631","90,190","53,272","110,216","19,431","30,862","44,835","25,754","151,384","37,659","351,515","175,382","11,352","217,693","63,720","78,519","238,774","19,662","91,834","14,049","120,224","399,381","32,834","12,968","143,435","124,495","36,854","102,866","9,896","72,558"
"        65 and 66 years","54,512","5,141","74,691","32,762","363,289","52,677","42,278","11,669","5,157","250,181","94,948","13,592","16,276","127,877","65,368","31,390","29,015","47,864","45,625","16,613","64,068","72,496","109,478","51,559","30,688","66,283","11,532","16,256","31,230","15,093","99,267","22,663","211,951","110,653","6,295","125,717","39,105","44,610","144,805","11,330","57,106","7,540","72,224","222,505","20,512","7,370","81,175","75,699","26,007","56,234","5,613","43,535"
"        67 to 69 years","68,072","5,859","93,554","41,061","428,927","62,274","48,253","13,830","7,723","313,930","120,573","20,312","20,997","157,767","83,255","39,407","34,959","61,059","57,357","20,110","71,991","86,609","133,631","62,691","38,648","80,353","14,554","22,129","36,793","17,419","113,158","30,361","249,734","131,891","8,033","151,901","51,209","53,928","176,922","12,602","75,045","8,554","91,816","289,872","26,227","8,963","103,165","85,200","26,293","72,786","5,948","59,510"
"        70 to 74 years","96,418","8,991","126,672","60,241","566,101","72,176","60,806","17,508","9,337","448,833","152,154","24,108","25,494","212,078","113,594","55,519","44,803","80,237","81,628","28,327","96,771","114,237","176,896","90,960","55,554","112,974","18,420","30,909","45,696","24,048","152,608","36,009","352,321","179,158","11,790","218,444","70,808","73,628","248,722","20,066","91,688","15,443","121,293","361,170","34,230","12,349","145,221","110,527","38,716","100,649","10,516","81,551"
"        75 to 79 years","72,305","4,676","89,727","44,581","438,415","57,382","52,806","14,131","8,164","347,864","109,955","18,285","19,537","168,154","92,466","50,552","39,714","63,936","59,955","22,717","74,133","89,730","138,680","70,721","40,859","87,386","15,208","26,718","31,137","17,905","122,065","29,270","267,092","136,137","10,045","169,333","53,226","51,616","201,790","15,235","68,636","10,969","93,662","281,590","25,942","8,791","102,271","79,242","31,271","81,179","6,740","59,255"
"        80 to 84 years","53,866","3,748","71,149","33,521","363,760","44,129","43,442","9,900","5,594","272,460","88,582","17,549","13,658","141,433","73,404","38,958","33,966","45,171","50,054","17,598","60,231","80,000","118,575","56,988","32,151","74,370","10,063","21,930","22,976","16,622","109,738","20,359","236,155","100,884","10,118","143,088","41,793","42,584","185,441","13,896","48,202","11,080","73,040","213,935","21,579","7,925","79,301","70,615","23,828","70,055","5,298","41,120"
"        85 years and over","55,167","3,947","71,065","35,018","420,444","48,450","57,975","11,421","6,881","305,854","83,553","23,220","16,956","165,807","77,416","50,571","39,349","49,873","46,296","19,467","69,483","111,050","136,164","74,425","33,643","77,829","14,223","26,397","22,014","16,178","126,983","21,962","286,538","108,490","10,283","166,705","43,702","54,015","217,040","19,455","51,262","13,410","68,875","218,461","19,108","8,738","89,472","76,176","26,800","80,592","5,808","44,193"
